Node, distance From sink, messages completed, rounds completed, finalRank, x, y, diedAt, nodes in Range,earliestBeacon
normal-87, 164.2833, 0.0, 567,100, 92, 295,72121.40000000306, 22,-2147483648
normal-88, 221.00905, 0.0, 564,100, 248, 471,71700.13333333637, 19,-2147483648
normal-89, 191.17531, 0.0, 556,100, 108, 122,70680.20000000295, 26,-2147483648
normal-90, 184.35835, 0.0, 563,100, 72, 298,71591.60000000302, 22,-2147483648
normal-91, 238.02731, 0.0, 559,100, 401, 434,71040.80000000299, 19,-2147483648
normal-92, 212.90373, 0.0, 553,100, 158, 58,70320.6000000029, 20,-2147483648
normal-93, 277.40585, 0.0, 534,100, 415, 473,67923.80000000268, 12,-2147483648
normal-94, 207.89421, 0.0, 572,100, 102, 396,72673.40000000312, 23,-2147483648
normal-95, 178.28067, 0.0, 580,100, 372, 120,73754.00000000322, 25,-2147483648
normal-96, 92.086914, 0.9967511, 761,1, 254, 158,96782.9058823607, 23,1
normal-97, 232.65855, 0.0, 574,100, 23, 301,72969.80000000315, 15,-2147483648
normal-98, 115.952576, 0.0, 541,100, 356, 297,68772.20000000276, 23,-2147483648
normal-99, 206.5454, 0.0, 563,100, 265, 44,71591.60000000302, 17,-2147483648
normal-100, 288.5221, 0.0, 539,100, 32, 439,68521.65714285988, 18,-2147483648
normal-101, 35.902645, 1.0, 794,1, 258, 215,100922.80000000882, 21,1
normal-102, 214.7091, 0.0, 579,100, 284, 462,73563.8000000032, 20,-2147483648
normal-103, 286.52573, 0.0, 547,100, 446, 41,69493.40000000283, 16,-2147483648
normal-104, 152.0296, 0.0, 582,100, 253, 402,73924.40000000325, 32,-2147483648
normal-105, 106.733315, 0.0, 526,100, 354, 226,66906.20000000259, 19,-2147483648
normal-106, 90.27181, 0.9987812, 766,1, 257, 340,97321.50769231543, 24,1
normal-107, 130.31117, 0.0, 533,100, 380, 241,67691.60000000267, 20,-2147483648
normal-108, 256.51706, 0.0, 542,100, 375, 474,68899.40000000279, 17,-2147483648
normal-109, 204.62894, 0.0, 570,100, 113, 402,72482.0000000031, 24,-2147483648
normal-110, 144.00348, 0.0, 556,100, 379, 314,70680.20000000294, 22,-2147483648
normal-111, 249.57564, 0.0, 556,100, 278, 498,70680.20000000294, 16,-2147483648
normal-112, 85.37564, 0.99629855, 751,1, 167, 270,95526.20000000867, 28,1
normal-113, 172.93062, 0.0, 539,100, 409, 182,68538.80000000274, 24,-2147483648
normal-114, 295.74313, 0.0, 531,100, 408, 500,67458.20000000265, 8,-2147483648
normal-115, 262.6652, 0.0, 566,100, 467, 102,71952.20000000307, 21,-2147483648
normal-116, 254.75085, 0.0, 536,100, 483, 147,68178.2000000027, 14,-2147483648
normal-117, 103.23759, 0.0, 539,100, 147, 243,68475.80000000275, 22,-2147483648
normal-118, 229.01965, 0.0, 579,100, 385, 65,73563.8000000032, 24,-2147483648
normal-119, 63.28507, 0.9920732, 768,1, 217, 304,97620.1454545541, 25,1
normal-120, 288.09027, 0.0, 524,100, 30, 64,66546.80000000256, 11,-2147483648
normal-121, 210.44002, 0.0, 565,100, 111, 92,71762.00000000306, 23,-2147483648
normal-122, 162.01543, 0.0, 539,100, 407, 210,68475.80000000274, 18,-2147483648
normal-123, 23.345236, 1.0, 796,1, 233, 234,101229.2000000102, 22,1
normal-124, 138.92444, 0.0, 550,100, 234, 112,69917.00000000287, 24,-2147483648
normal-125, 246.78938, 0.0, 567,100, 77, 426,72121.40000000306, 24,-2147483648
normal-126, 137.92752, 0.0, 559,100, 118, 210,71040.80000000299, 24,-2147483648
normal-127, 136.18002, 0.0, 583,100, 257, 386,74114.60000000327, 31,-2147483648
normal-128, 238.87234, 0.0, 553,100, 202, 16,70320.6000000029, 15,-2147483648
normal-129, 234.0534, 0.0, 580,100, 416, 85,73754.00000000322, 29,-2147483648
normal-130, 209.87616, 0.0, 564,100, 278, 42,71655.80000000303, 17,-2147483648
normal-131, 241.89667, 0.0, 539,100, 185, 483,68520.22857143132, 15,-2147483648
normal-132, 244.39517, 0.0, 509,100, 27, 150,64743.80000000239, 11,-2147483648
normal-133, 218.44908, 0.0, 577,100, 84, 392,73330.40000000318, 29,-2147483648
normal-134, 246.28845, 0.0, 567,100, 403, 57,72079.40000000306, 23,-2147483648
normal-135, 167.7051, 0.0, 555,100, 85, 280,70511.00000000292, 20,-2147483648
normal-136, 233.4138, 0.0, 567,100, 419, 411,72016.40000000306, 19,-2147483648
normal-137, 217.58907, 0.0, 553,100, 449, 338,70320.6000000029, 17,-2147483648
normal-138, 247.19426, 0.0, 538,100, 162, 481,68348.60000000273, 14,-2147483648
normal-139, 124.47088, 0.0, 542,100, 172, 153,68899.40000000279, 25,-2147483648
normal-140, 227.66862, 0.0, 559,100, 398, 423,71040.80000000297, 23,-2147483648
normal-141, 154.15901, 0.0, 557,100, 369, 152,70807.40000000295, 26,-2147483648
normal-142, 227.55438, 0.0, 548,100, 459, 160,69600.60000000284, 17,-2147483648
normal-143, 233.56584, 0.0, 575,100, 117, 442,73034.00000000316, 25,-2147483648
normal-144, 135.0, 0.0, 569,100, 331, 358,72312.8000000031, 28,-2147483648
normal-145, 120.21647, 0.0, 562,100, 164, 166,71401.40000000302, 27,-2147483648
normal-146, 190.53871, 0.0, 582,100, 347, 86,73924.40000000324, 23,-2147483648
normal-147, 208.06009, 0.0, 583,100, 410, 117,74114.60000000325, 29,-2147483648
normal-148, 110.36757, 0.0, 565,100, 216, 355,71762.00000000304, 29,-2147483648
normal-149, 126.210144, 0.0, 541,100, 198, 135,68709.20000000278, 27,-2147483648
normal-150, 61.220913, 0.9940048, 787,1, 212, 298,100021.40000000855, 23,1
normal-151, 316.81226, 0.0, 505,100, 23, 29,64151.00000000234, 6,-2147483648
normal-152, 269.46243, 0.0, 526,100, 147, 499,66906.20000000259, 10,-2147483648
normal-153, 257.25668, 0.0, 553,100, 459, 100,70320.60000000292, 21,-2147483648
normal-154, 55.605755, 1.0, 783,1, 216, 294,99540.3142857228, 22,1
normal-155, 267.4416, 0.0, 540,100, 0, 345,68645.00000000275, 12,-2147483648
normal-156, 277.3085, 0.0, 526,100, 378, 496,66906.2000000026, 12,-2147483648
normal-157, 177.51901, 0.0, 575,100, 122, 373,73097.00000000316, 26,-2147483648
normal-158, 264.59213, 0.0, 528,100, 30, 103,67097.60000000261, 14,-2147483648
normal-159, 158.80806, 0.0, 560,100, 92, 266,71231.000000003, 20,-2147483648
normal-160, 209.26778, 0.0, 575,100, 273, 458,73034.00000000316, 19,-2147483648
normal-161, 260.4995, 0.0, 546,100, 88, 454,69429.20000000282, 24,-2147483648
normal-162, 259.01736, 0.0, 567,100, 459, 403,72121.40000000306, 14,-2147483648
normal-163, 237.36049, 0.0, 524,100, 28, 166,66546.80000000256, 10,-2147483648
normal-164, 159.90622, 0.0, 563,100, 133, 141,71591.60000000303, 24,-2147483648
normal-165, 337.41516, 0.0, 494,100, 18, 5,62772.800000002215, 4,-2147483648
normal-166, 221.37073, 0.0, 558,100, 349, 448,70871.60000000297, 23,-2147483648
normal-167, 93.64828, 0.99936587, 759,1, 157, 239,96438.80000000859, 24,1
normal-168, 208.62646, 0.0, 572,100, 100, 395,72673.40000000312, 24,-2147483648
normal-169, 197.8737, 0.0, 577,100, 373, 95,73393.40000000318, 24,-2147483648
normal-170, 230.64474, 0.0, 573,100, 29, 316,72842.60000000313, 17,-2147483648
normal-171, 245.5056, 0.0, 567,100, 457, 382,72121.40000000306, 14,-2147483648
